symbol,timestamp,open,high,low,close,volume,trade_count,vwap,SMA_20,EMA_20,RSI_14,MACD,MACD_SIGNAL,MACD_HIST,ATR_14
SPY,2025-04-25 04:00:00,546.65,551.05,543.69,550.64,61119590.0,562252.0,548.286989,534.6599999999992,539.1524935391209,52.847426987175226,-6.613229469569433,-10.427699998576607,3.814470529007174,16.42051637798728
SPY,2025-04-28 04:00:00,551.39,553.55,545.02,550.85,47613755.0,472025.0,549.56739,534.4194999999993,540.2665417734903,52.92424254232545,-4.945596959288309,-9.331279390718947,4.385682431430638,15.8569080652739
SPY,2025-04-29 04:00:00,548.91,555.45,548.55,554.32,47775121.0,474829.0,553.036602,534.1659999999993,541.6049663664912,54.25049155303018,-3.3058780756288115,-8.12619912770092,4.820321052072108,15.217128917754343
SPY,2025-04-30 04:00:00,547.57,556.52,541.52,554.54,93101463.0,707090.0,549.757618,533.8444999999992,542.8368743315873,54.33832450699458,-1.9659743568001886,-6.894154173520773,4.928179816720585,15.201619709343317
SPY,2025-05-01 04:00:00,560.37,564.0699,557.86,558.47,63186146.0,585865.0,561.004467,533.5419999999992,544.3257434428647,55.96472075772005,-0.580283701230087,-5.631380079062636,5.051096377832549,14.796496872961653
SPY,2025-05-02 04:00:00,564.73,568.38,562.38,566.76,60717270.0,571476.0,566.424958,535.0449999999992,546.462339305449,59.26105303988072,1.1732948317803675,-4.270445096894035,5.443739928674402,14.447461382035817
SPY,2025-05-05 04:00:00,562.57,566.65,561.7,563.51,38659222.0,414698.0,564.409762,537.9564999999991,548.0859260382633,57.44553721822291,2.2745510062839003,-2.9614458762584475,5.235996882542348,13.776928426176111
SPY,2025-05-06 04:00:00,557.93,563.3476,556.96,558.8,48264708.0,473580.0,559.981148,540.6774999999991,549.1063140346192,54.82418667895842,2.735711245495736,-1.8220144519076107,4.557725697403347,13.260719252877815
SPY,2025-05-07 04:00:00,560.15,563.82,556.04,561.15,55733229.0,531073.0,560.011623,543.9109999999991,550.2533317456079,55.90533794811534,3.2533073161546326,-0.8069500982951618,4.0602574144497945,12.86923930624369
SPY,2025-05-08 04:00:00,565.24,570.31,561.7,565.06,65130787.0,601131.0,566.584308,544.732999999999,551.6634906269785,57.71845126457925,3.9336654077973208,0.14117300292333468,3.792492404873986,12.604293641511996
SPY,2025-05-09 04:00:00,566.48,567.5,562.7637,564.34,37603427.0,422432.0,564.739305,546.7209999999991,552.8707772339329,57.2516123255474,4.364445503439924,0.9858275030266527,3.3786180004132715,12.042294095689712
SPY,2025-05-12 04:00:00,581.47,583.0,577.04,582.99,78993570.0,733762.0,580.547302,549.1734999999991,555.7392746402251,65.12109626642511,6.139963293434107,2.0166546611081437,4.123308632325964,12.514987374569017
SPY,2025-05-13 04:00:00,583.41,589.08,582.84,586.84,67947225.0,682785.0,587.193555,551.559499999999,558.7012484840131,66.49240835666927,7.768189900484458,3.166961708983407,4.601228191501051,12.066773990671232
SPY,2025-05-14 04:00:00,587.81,588.98,585.535,587.59,66283531.0,676301.0,587.373305,554.058499999999,561.4525581522024,66.76652440263867,9.015168696316096,4.336603106449944,4.678565589866151,11.450932991337577
SPY,2025-05-15 04:00:00,585.56,590.97,585.0969,590.46,71268145.0,737359.0,588.585752,557.298499999999,564.2151716615165,67.85038236734505,10.118355289103647,5.492953542980684,4.625401746122963,11.05251634909918
SPY,2025-05-16 04:00:00,591.25,594.5,589.28,594.2,76052101.0,645314.0,592.388584,560.687999999999,567.070869598515,69.25743734323568,11.16571395537187,6.627505625458921,4.538208329912949,10.63590803844924
SPY,2025-05-19 04:00:00,588.1,595.54,588.1,594.85,68168509.0,662361.0,593.168182,564.7364999999991,569.7165010653231,69.5072179645211,11.910901355378428,7.684184771442823,4.226716583935605,10.40762889284572
SPY,2025-05-20 04:00:00,593.09,594.05,589.6,592.85,60614492.0,632002.0,592.357838,568.016499999999,571.9196914400542,67.6849505347081,12.199456710307913,8.58723915921584,3.6122175510920727,10.039226829071026
SPY,2025-05-21 04:00:00,588.44,592.58,581.82,582.86,95197657.0,1066364.0,587.037546,570.3884999999991,572.9616255886204,59.319322255751,11.489584618468484,9.167708251066369,2.3218763674021154,10.109996341280237
SPY,2025-05-22 04:00:00,582.66,586.62,581.405,583.09,70860417.0,844277.0,584.053292,572.208499999999,573.9262326754185,59.44360556728883,10.820829166247108,9.498332434102517,1.3224967321445913,9.760353745474507
SPY,2025-05-23 04:00:00,575.98,581.8101,575.6,579.11,76029046.0,877472.0,578.838939,573.6319999999992,574.4199248015691,56.24159901724147,9.856068294378588,9.56987960615773,0.2861886882208573,9.598185620797759
SPY,2025-05-27 04:00:00,586.07,591.31,578.43,591.15,72588475.0,830952.0,589.125551,575.6469999999991,576.0132652966578,62.77423938999876,9.948337488277843,9.645571182581753,0.30276630569609075,9.832600933597918
SPY,2025-05-28 04:00:00,591.56,592.7688,586.985,587.73,68445512.0,731933.0,589.715167,577.3174999999991,577.1291447922142,60.03266984112467,9.634436287050562,9.643344203475515,-0.008907916424952589,9.543400866912355
SPY,2025-05-29 04:00:00,593.06,593.2,586.07,590.05,70073758.0,826143.0,589.567723,579.0929999999992,578.359702431051,61.2684169928086,9.463779376834736,9.60743123814736,-0.1436518613126232,9.37101509070433
SPY,2025-05-30 04:00:00,588.93,591.1299,583.235,589.39,90601242.0,884337.0,588.05609,580.6389999999991,579.4102069614271,60.69349717876783,9.16957491012056,9.519859972542,-0.35028506242144,9.265578298511164
SPY,2025-06-02 04:00:00,587.76,592.79,585.06,592.71,61630502.0,728812.0,589.874707,581.9364999999991,580.6768539174817,62.59492555923028,9.099419559730563,9.435771889979712,-0.3363523302491487,9.155894134331797
SPY,2025-06-03 04:00:00,592.34,597.08,591.85,596.09,63606204.0,690792.0,595.238267,583.565499999999,582.1447725920073,64.47885990126315,9.210387082248644,9.390694928433499,-0.18030784618485463,8.87547312473667
